Date,Product,Amount,Boxes Shipped
01/01/2023,Laptops,"$125,000",250
05/01/2023,Smartphones,"85,500",300
10/01/2023,Tablets,"$45,200",150
15/01/2023,Monitors,,120
20/01/2023,Laptops,"$140,000",280
25/01/2023,Smartphones,"$92,000",
30/01/2023,Tablets,"48,000",160
04/02/2023,Smartwatches,"$25,500",180
09/02/2023,Monitors,"$65,000",140
14/02/2023,Laptops,"$2,500,000",5000
19/02/2023,Smartphones,"$88,000",310
24/02/2023,Tablets,,155
01/03/2023,Smartwatches,"$27,000",190
06/03/2023,Laptops,"$135,000",270
11/03/2023,Monitors,"$62,000",135
16/03/2023,Smartphones,"95,000",320
21/03/2023,Smartwatches,"$26,500",185
26/03/2023,Tablets,"$49,500",
31/03/2023,Laptops,"$128,000",260
05/04/2023,Monitors,"$68,000",145
10/04/2023,Laptops,"$145,000",290
15/04/2023,Smartphones,"91,500",305
20/04/2023,Tablets,"$46,800",152
25/04/2023,Monitors,,125
30/04/2023,Laptops,"$138,000",275
05/05/2023,Smartphones,"$94,000",
10/05/2023,Tablets,"51,000",165
15/05/2023,Smartwatches,"$28,500",195
20/05/2023,Monitors,"$71,000",150
25/05/2023,Laptops,"$3,200,000",6400
30/05/2023,Smartphones,"$89,500",295
04/06/2023,Tablets,,158
09/06/2023,Smartwatches,"$24,000",175
14/06/2023,Laptops,"$132,000",265
19/06/2023,Monitors,"$66,500",138
24/06/2023,Smartphones,"96,000",325
29/06/2023,Smartwatches,"$29,000",200
04/07/2023,Tablets,"$47,500",
09/07/2023,Laptops,"$142,000",285
14/07/2023,Monitors,"$69,500",148
19/07/2023,Laptops,"$150,000",300
24/07/2023,Smartphones,"98,000",330
29/07/2023,Tablets,"$52,500",170
03/08/2023,Monitors,,130
08/08/2023,Laptops,"$122,000",245
13/08/2023,Smartphones,"$86,000",
18/08/2023,Tablets,"44,000",145
23/08/2023,Smartwatches,"$23,500",170
28/08/2023,Monitors,"$61,000",132
02/09/2023,Laptops,"$1,850,000",3700
07/09/2023,Smartphones,"$93,500",315
12/09/2023,Tablets,,162
17/09/2023,Smartwatches,"$30,000",210
22/09/2023,Laptops,"$148,000",295
27/09/2023,Monitors,"$72,500",155
02/10/2023,Smartphones,"87,500",290
07/10/2023,Smartwatches,"$25,000",178
12/10/2023,Tablets,"$50,000",
17/10/2023,Laptops,"$136,000",272
22/10/2023,Monitors,"$64,000",136
27/10/2023,Laptops,"$129,000",258
01/11/2023,Smartphones,"90,500",302
06/11/2023,Tablets,"$45,800",154
11/11/2023,Monitors,,128
16/11/2023,Laptops,"$141,000",282
21/11/2023,Smartphones,"$97,000",
26/11/2023,Tablets,"49,000",164
01/12/2023,Smartwatches,"$27,500",188
06/12/2023,Monitors,"$67,500",142
11/12/2023,Laptops,"$4,100,000",8200
16/12/2023,Smartphones,"$84,500",285
21/12/2023,Tablets,,148
26/12/2023,Smartwatches,"$22,000",160
31/12/2023,Laptops,"$130,000",262
05/01/2024,Monitors,"$63,500",134
10/01/2024,Smartphones,"99,500",335
15/01/2024,Smartwatches,"$31,500",220
20/01/2024,Tablets,"$54,000",
25/01/2024,Laptops,"$146,000",292
30/01/2024,Monitors,"$74,000",158
04/02/2024,Laptops,"$126,000",252
09/02/2024,Smartphones,"92,500",308
14/02/2024,Tablets,"$48,500",162
19/02/2024,Monitors,,126
24/02/2024,Laptops,"$139,000",278
29/02/2024,Smartphones,"$95,500",
05/03/2024,Tablets,"46,500",155
10/03/2024,Smartwatches,"$26,000",182
15/03/2024,Monitors,"$69,000",146
20/03/2024,Laptops,"$2,900,000",5800
25/03/2024,Smartphones,"$88,500",298
30/03/2024,Tablets,,150
04/04/2024,Smartwatches,"$28,000",192
09/04/2024,Laptops,"$134,000",268
14/04/2024,Monitors,"$65,500",140
19/04/2024,Smartphones,"102,000",340
24/04/2024,Smartwatches,"$32,000",225
29/04/2024,Tablets,"$55,500",
04/05/2024,Laptops,"$152,000",305
09/05/2024,Monitors,"$76,000",162
